ID,Remarks,Time,Geometry,Latitude,Longitude,X,Y,Elevation,Ortho Height,Instrument Ht,Fix ID,Speed,Bearing,Horizontal Accuracy,Vertical Accuracy,PDOP,HDOP,VDOP,Satellites in View,Satellites in Use
11.0,,06/07/2025 04:15:08.000 GMT+07:00,POINT Z (-118.072541423 48.575594783 385.643),48.575594783,-118.072541423,420887.826,5380833.666,385.643,0.0,1.829,4.0,0.009,162.171,0.01,0.01,1.08,0.6,0.9,37.0,33.0
12.0,,06/07/2025 04:15:20.000 GMT+07:00,POINT Z (-118.072622457 48.575565870 385.674),48.57556587,-118.072622457,420881.804,5380830.536,385.674,0.0,1.829,4.0,0.007,141.762,0.01,0.01,1.12,0.64,0.92,38.0,33.0
13.0,,06/07/2025 04:15:35.000 GMT+07:00,POINT Z (-118.072742177 48.575540242 385.536),48.575540242,-118.072742177,420872.934,5380827.811,385.536,0.0,1.829,4.0,0.007,162.942,0.01,0.01,1.19,0.68,0.97,36.0,32.0
14.0,,06/07/2025 04:15:49.000 GMT+07:00,POINT Z (-118.072870673 48.575529702 385.482),48.575529702,-118.072870673,420863.439,5380826.773,385.482,0.0,1.829,4.0,0.011,157.662,0.01,0.01,1.19,0.68,0.97,37.0,33.0
15.0,,06/07/2025 04:15:58.000 GMT+07:00,POINT Z (-118.072871855 48.575542095 385.479),48.575542095,-118.072871855,420863.371,5380828.152,385.479,0.0,1.829,4.0,0.004,316.997,0.01,0.01,1.12,0.64,0.92,35.0,33.0
16.0,,06/07/2025 04:16:11.000 GMT+07:00,POINT Z (-118.072789670 48.575548162 385.550),48.575548162,-118.07278967,420869.443,5380828.741,385.55,0.0,1.829,4.0,0.008,312.472,0.01,0.01,1.19,0.68,0.97,35.0,33.0
17.0,,06/07/2025 04:16:21.000 GMT+07:00,POINT Z (-118.072720035 48.575558518 385.582),48.575558518,-118.072720035,420874.595,5380829.82,385.582,0.0,1.829,4.0,0.012,296.36,0.01,0.01,1.18,0.68,0.97,36.0,33.0
18.0,,06/07/2025 04:16:32.000 GMT+07:00,POINT Z (-118.072637445 48.575577198 385.663),48.575577198,-118.072637445,420880.716,5380831.811,385.663,0.0,1.829,4.0,0.004,323.17,0.01,0.01,1.15,0.64,0.96,36.0,32.0
19.0,,06/07/2025 04:16:45.000 GMT+07:00,POINT Z (-118.072530297 48.575617530 385.647),48.57561753,-118.072530297,420888.683,5380836.183,385.647,0.0,1.829,4.0,0.008,291.216,0.01,0.01,1.08,0.6,0.9,38.0,33.0
20.0,,06/07/2025 04:16:59.000 GMT+07:00,POINT Z (-118.072437315 48.575678228 385.652),48.575678228,-118.072437315,420895.636,5380842.833,385.652,0.0,1.829,4.0,0.022,238.701,0.01,0.01,1.15,0.64,0.96,39.0,33.0
21.0,,06/07/2025 04:17:08.000 GMT+07:00,POINT Z (-118.072424603 48.575690052 385.573),48.575690052,-118.072424603,420896.592,5380844.135,385.573,0.0,1.829,4.0,0.019,190.094,0.01,0.01,1.15,0.64,0.96,35.0,32.0
22.0,,06/07/2025 04:17:20.000 GMT+07:00,POINT Z (-118.072443702 48.575696677 385.588),48.575696677,-118.072443702,420895.193,5380844.891,385.588,0.0,1.829,4.0,0.016,177.862,0.01,0.011,1.15,0.64,0.96,34.0,31.0
23.0,,06/07/2025 04:17:32.000 GMT+07:00,POINT Z (-118.072480362 48.575666282 385.675),48.575666282,-118.072480362,420892.442,5380841.55,385.675,0.0,1.829,4.0,0.018,125.522,0.01,0.014,1.15,0.64,0.96,33.0,31.0
24.0,,06/07/2025 04:17:45.000 GMT+07:00,POINT Z (-118.072538430 48.575629908 385.685),48.575629908,-118.07253843,420888.102,5380837.567,385.685,0.0,1.829,4.0,0.007,120.498,0.01,0.014,1.15,0.64,0.96,35.0,32.0
25.0,,06/07/2025 04:17:58.000 GMT+07:00,POINT Z (-118.072614927 48.575596973 385.639),48.575596973,-118.072614927,420882.408,5380833.985,385.639,0.0,1.829,4.0,0.006,142.587,0.01,0.011,1.08,0.6,0.9,39.0,32.0
26.0,,06/07/2025 04:18:14.000 GMT+07:00,POINT Z (-118.072719070 48.575571932 385.626),48.575571932,-118.07271907,420874.687,5380831.31,385.626,0.0,1.829,4.0,0.03,168.33,0.01,0.012,1.08,0.6,0.9,38.0,33.0
27.0,,06/07/2025 04:18:28.000 GMT+07:00,POINT Z (-118.072822915 48.575557623 385.631),48.575557623,-118.072822915,420867.006,5380829.827,385.631,0.0,1.829,4.0,0.006,149.119,0.01,0.012,1.08,0.6,0.9,38.0,33.0
